Created.Date,Vendor,Class,Leads,Inquiry,Applied,Admitted,Confirmed,Enrolled
17-Oct,College Board,SR,2279,198,129,112,39,31
17-Oct,NRCCUA,SR,424,23,17,16,4,3
18-Feb,College Board,SR,9464,123,74,59,24,18
18-Feb,NRCCUA,SR,243,19,11,10,5,4
18-Oct,College Board,SR,35634,438,290,213,51,41
18-Oct,NRCCUA,SR,2975,43,31,26,9,7
19-Oct,College Board,SR,2101,56,51,0,0,0
19-Oct,NRCCUA,SR,3908,23,19,0,0,0
20-Jan,College Board,SR,3119,9,7,0,0,0
20-Jan,NRCCUA,SR,1523,8,7,0,0,0
20-Jan,Both,SR,663,2,2,0,0,0
17-Oct,College Board,JR,13015,1960,1138,1030,307,253
17-Oct,NRCCUA,JR,2556,176,81,71,22,20
18-Feb,College Board,JR,25270,1736,966,835,263,226
18-Feb,NRCCUA,JR,21315,518,152,125,24,21
19-Feb,College Board,JR,9649,1256,735,710,136,111
19-Oct,College Board,JR,13901,115,0,0,0,0
19-Oct,NRCCUA,JR,4480,28,0,0,0,0
20-Jan,College Board,JR,38969,147,0,0,0,0
20-Jan,NRCCUA,JR,12092,20,0,0,0,0
20-Jan,Both,JR,5248,30,0,0,0,0
20-Apr,College Board,JR,5074,25,0,0,0,0
20-Apr,NRCCUA,JR,1185,2,0,0,0,0
20-Apr,Both,JR,79,1,0,0,0,0
